epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4246,1.12748,3.55803,1.01612,0.00192,0.57576,0.42544,0.37013,1.23209,5.84309,0.75949,0.00042,0.00042,0.00042
2,154.888,1.16984,2.41357,0.9996,0.89395,0.42424,0.42436,0.31914,1.25208,5.93853,0.77589,0.000851486,0.000851486,0.000851486
3,231.245,1.21414,2.30167,1.0425,0.91451,0.32471,0.41037,0.31302,1.86358,5.81028,0.90494,0.00127426,0.00127426,0.00127426
4,307.239,1.1361,1.94304,1.0592,0.80758,0.33333,0.45656,0.31406,0.9385,5.98817,0.79237,0.00168832,0.00168832,0.00168832
5,383.6,1.15848,1.87046,1.03745,0.91516,0.42424,0.56,0.33459,1.16133,4.8011,0.90535,0.0019208,0.0019208,0.0019208
6,460.25,1.10353,1.53536,1.02931,0.45509,0.18182,0.2282,0.15099,0.8719,5.20642,0.82272,0.001901,0.001901,0.001901
7,536.47,1.07379,1.33717,1.03455,0.81001,0.33333,0.42121,0.25749,1.21583,4.33819,0.81668,0.0018812,0.0018812,0.0018812
8,612.912,1.00364,1.18169,1.00575,0.86346,0.57494,0.71275,0.55287,1.10254,2.85785,0.76367,0.0018614,0.0018614,0.0018614
9,688.963,1.11089,1.20455,1.01138,0.82474,1,0.93325,0.59641,1.19665,1.91754,0.83647,0.0018416,0.0018416,0.0018416
10,766.033,0.99528,1.01517,1.00758,0.96591,1,0.99412,0.72181,1.07797,2.13676,0.76918,0.0018218,0.0018218,0.0018218
11,842.169,1.06043,1.01086,1.0078,0.96399,1,0.99059,0.78636,0.63334,1.92358,0.72575,0.001802,0.001802,0.001802
12,918.709,1.03295,0.93001,1.0166,1,0.99998,0.995,0.73406,0.98436,1.44756,0.77148,0.0017822,0.0017822,0.0017822
13,995.449,1.04278,0.84987,1.00025,0.88618,0.94383,0.96534,0.69951,0.85761,1.49645,0.75128,0.0017624,0.0017624,0.0017624
14,1069.74,0.97296,0.77849,1.01582,1,0.99337,0.995,0.70641,1.02585,1.12576,0.78048,0.0017426,0.0017426,0.0017426
15,1144.13,1.00673,0.76497,0.99939,0.99824,1,0.995,0.72724,1.24698,1.45671,0.78303,0.0017228,0.0017228,0.0017228
16,1218.75,1.01339,0.75171,1.02416,0.9948,1,0.995,0.69265,1.23908,1.0902,0.78723,0.001703,0.001703,0.001703
17,1293.09,0.9499,0.70949,0.99542,0.94134,1,0.99235,0.76947,0.84117,1.12096,0.74217,0.0016832,0.0016832,0.0016832
18,1367.57,0.9723,0.72244,0.98123,0.99756,1,0.995,0.75877,1.21567,1.32588,0.78192,0.0016634,0.0016634,0.0016634
19,1442.02,0.948,0.68636,0.97384,0.99874,1,0.995,0.73121,0.95977,0.94173,0.74313,0.0016436,0.0016436,0.0016436
20,1516.62,0.94922,0.65717,0.97141,0.99646,1,0.995,0.76163,0.70641,0.88433,0.72021,0.0016238,0.0016238,0.0016238
21,1591.26,0.85376,0.6101,0.93729,0.96591,1,0.99412,0.75178,1.11147,0.98198,0.78074,0.001604,0.001604,0.001604
22,1665.4,0.86017,0.61285,0.98087,0.99774,1,0.995,0.7521,0.78539,0.84479,0.74389,0.0015842,0.0015842,0.0015842
23,1739.72,0.92496,0.60401,0.97461,0.99818,1,0.995,0.73718,0.90071,0.77442,0.74608,0.0015644,0.0015644,0.0015644
24,1814.07,0.86484,0.59079,0.95345,0.99557,1,0.995,0.78742,0.74284,0.85223,0.74012,0.0015446,0.0015446,0.0015446
25,1888.47,0.91987,0.58814,0.98038,0.99448,1,0.995,0.76184,0.68294,0.75279,0.7281,0.0015248,0.0015248,0.0015248
26,1963.48,0.88536,0.57275,0.95751,0.99448,1,0.995,0.79562,0.88414,0.76299,0.73347,0.001505,0.001505,0.001505
27,2037.87,0.8118,0.5387,0.95301,0.99465,1,0.995,0.81314,0.94562,0.80661,0.73957,0.0014852,0.0014852,0.0014852
28,2112.82,0.8446,0.53508,0.95335,0.99681,1,0.995,0.75998,1.03943,0.61449,0.73761,0.0014654,0.0014654,0.0014654
29,2186.93,0.81768,0.53245,0.94261,0.9978,1,0.995,0.73546,1.11895,0.83193,0.76616,0.0014456,0.0014456,0.0014456
30,2260.83,0.89078,0.55421,0.94064,0.99802,1,0.995,0.73964,1.24353,0.84885,0.79576,0.0014258,0.0014258,0.0014258
31,2334.77,0.92384,0.53812,0.94947,0.99649,1,0.995,0.7083,1.65547,1.02877,0.80242,0.001406,0.001406,0.001406
32,2408.42,0.80813,0.52972,0.93963,0.99487,1,0.995,0.79945,1.32712,0.79425,0.77705,0.0013862,0.0013862,0.0013862
33,2482.25,0.84201,0.51625,0.95488,0.99633,1,0.995,0.78809,0.89891,0.99478,0.73663,0.0013664,0.0013664,0.0013664
34,2556.13,0.83853,0.5344,0.94709,0.99791,1,0.995,0.79076,1.00356,0.82063,0.75045,0.0013466,0.0013466,0.0013466
35,2629.73,0.85851,0.52156,0.96136,0.99016,0.87879,0.92417,0.70322,1.06168,0.97738,0.767,0.0013268,0.0013268,0.0013268
36,2703.3,0.87897,0.54271,0.95284,0.99698,1,0.995,0.70775,1.55766,0.9969,0.81392,0.001307,0.001307,0.001307
37,2777.05,0.86103,0.50235,0.93627,0.97022,1,0.995,0.78964,1.26847,1.01748,0.77488,0.0012872,0.0012872,0.0012872
38,2850.65,0.81175,0.52129,0.93775,0.99658,1,0.995,0.79762,1.01198,0.67565,0.74999,0.0012674,0.0012674,0.0012674
39,2924.46,0.80939,0.51285,0.94524,0.99508,1,0.995,0.79054,1.23541,0.93764,0.77606,0.0012476,0.0012476,0.0012476
40,2998.15,0.79659,0.4937,0.92391,0.99675,1,0.995,0.81213,0.89582,0.68753,0.73439,0.0012278,0.0012278,0.0012278
41,3071.95,0.77876,0.49361,0.93094,0.99764,1,0.995,0.79968,0.83978,0.82527,0.72999,0.001208,0.001208,0.001208
42,3145.57,0.75165,0.45315,0.93181,0.99796,1,0.995,0.81968,0.72608,0.72212,0.72232,0.0011882,0.0011882,0.0011882
43,3219.06,0.7896,0.47198,0.92067,0.99806,1,0.995,0.83281,0.72964,0.6591,0.72383,0.0011684,0.0011684,0.0011684
44,3292.77,0.79804,0.47582,0.95178,0.99582,1,0.995,0.79273,1.21086,0.69682,0.75848,0.0011486,0.0011486,0.0011486
45,3366.16,0.73386,0.45313,0.92812,0.99744,1,0.995,0.79193,1.25287,0.77058,0.77137,0.0011288,0.0011288,0.0011288
46,3439.73,0.7518,0.46555,0.92884,0.99688,1,0.995,0.7997,1.36292,0.81558,0.76241,0.001109,0.001109,0.001109
47,3513.48,0.78808,0.47029,0.92466,0.99787,1,0.995,0.79918,0.92018,0.61166,0.72752,0.0010892,0.0010892,0.0010892
48,3587.69,0.72449,0.44122,0.91672,0.99836,1,0.995,0.76495,1.20142,0.84767,0.75943,0.0010694,0.0010694,0.0010694
49,3661.54,0.77944,0.45414,0.91193,0.99786,1,0.995,0.78635,1.08904,0.6613,0.74327,0.0010496,0.0010496,0.0010496
50,3735.24,0.75934,0.44695,0.91957,0.99791,1,0.995,0.79824,1.00038,0.70517,0.74435,0.0010298,0.0010298,0.0010298
51,3808.79,0.79246,0.44604,0.9153,0.99785,1,0.995,0.74603,1.26627,0.82077,0.79234,0.00101,0.00101,0.00101
52,3882.73,0.75825,0.43719,0.91758,0.99738,1,0.995,0.7914,0.87253,0.70237,0.78568,0.0009902,0.0009902,0.0009902
53,3956.29,0.7472,0.4472,0.91544,0.96541,1,0.995,0.82166,0.79992,0.64946,0.71839,0.0009704,0.0009704,0.0009704
54,4029.88,0.71906,0.4345,0.90731,0.99711,1,0.995,0.77238,1.13475,0.72825,0.73375,0.0009506,0.0009506,0.0009506
55,4103.7,0.73918,0.43061,0.89617,0.99797,1,0.995,0.83955,0.69915,0.6231,0.70817,0.0009308,0.0009308,0.0009308
56,4178.48,0.72945,0.42567,0.90195,0.99747,1,0.995,0.7893,0.8057,0.61813,0.7046,0.000911,0.000911,0.000911
57,4252.12,0.69214,0.40971,0.9059,0.99744,1,0.995,0.82114,0.99425,0.62878,0.72857,0.0008912,0.0008912,0.0008912
58,4325.7,0.68654,0.39856,0.90375,0.99778,1,0.995,0.77965,1.11661,0.61481,0.72689,0.0008714,0.0008714,0.0008714
59,4399.34,0.73701,0.39996,0.90521,0.99735,1,0.995,0.81304,0.97051,0.54448,0.72698,0.0008516,0.0008516,0.0008516
60,4473.3,0.70709,0.40521,0.88739,0.99758,1,0.995,0.80754,1.16329,0.80913,0.7791,0.0008318,0.0008318,0.0008318
61,4547.25,0.71911,0.41206,0.90571,0.99737,1,0.995,0.81411,1.0553,0.65515,0.74926,0.000812,0.000812,0.000812
62,4620.82,0.70094,0.40948,0.89629,0.99732,1,0.995,0.81417,1.14355,0.65703,0.74128,0.0007922,0.0007922,0.0007922
63,4694.36,0.70978,0.41781,0.90743,0.99788,1,0.995,0.81793,1.0748,0.66606,0.76037,0.0007724,0.0007724,0.0007724
64,4767.86,0.72016,0.42859,0.89756,0.99766,1,0.995,0.81001,1.05572,0.68978,0.75575,0.0007526,0.0007526,0.0007526
65,4841.31,0.67275,0.3906,0.87903,0.99767,1,0.995,0.82558,1.11254,0.87107,0.75574,0.0007328,0.0007328,0.0007328
66,4915.06,0.68236,0.40382,0.8938,0.99671,1,0.995,0.79651,1.08286,0.73117,0.75084,0.000713,0.000713,0.000713
67,4988.65,0.69349,0.4073,0.89396,0.99588,1,0.995,0.8123,0.9069,0.69398,0.71409,0.0006932,0.0006932,0.0006932
68,5062.4,0.68156,0.40163,0.91338,0.99783,1,0.995,0.85486,0.81274,0.54137,0.72202,0.0006734,0.0006734,0.0006734
69,5135.91,0.63698,0.39108,0.88948,0.99772,1,0.995,0.83843,1.11022,0.54949,0.7431,0.0006536,0.0006536,0.0006536
70,5209.63,0.66241,0.39262,0.9092,0.99672,1,0.995,0.80891,1.08378,0.57586,0.75666,0.0006338,0.0006338,0.0006338
71,5283.52,0.66375,0.3897,0.89377,0.99798,1,0.995,0.80406,0.99613,0.6496,0.73963,0.000614,0.000614,0.000614
72,5357.33,0.65814,0.38283,0.90373,0.99787,1,0.995,0.82127,1.03803,0.5958,0.76172,0.0005942,0.0005942,0.0005942
73,5430.86,0.6903,0.39027,0.89127,0.99795,1,0.995,0.83516,0.95967,0.61636,0.73532,0.0005744,0.0005744,0.0005744
74,5504.49,0.63938,0.38095,0.88399,0.99799,1,0.995,0.82307,0.93297,0.73663,0.79532,0.0005546,0.0005546,0.0005546
75,5578.07,0.65621,0.38905,0.8921,0.99775,1,0.995,0.82801,1.10365,0.72066,0.77323,0.0005348,0.0005348,0.0005348
76,5651.93,0.64453,0.37793,0.88319,0.99782,1,0.995,0.78329,1.23993,0.70019,0.79237,0.000515,0.000515,0.000515
77,5725.75,0.64869,0.36862,0.8847,0.99792,1,0.995,0.84911,0.90749,0.67597,0.73159,0.0004952,0.0004952,0.0004952
78,5799.36,0.68419,0.37981,0.88596,0.99787,1,0.995,0.81603,1.1179,0.65802,0.74316,0.0004754,0.0004754,0.0004754
79,5872.93,0.65409,0.3773,0.87375,0.99802,1,0.995,0.82456,0.9858,0.65273,0.75546,0.0004556,0.0004556,0.0004556
80,5946.78,0.59295,0.35426,0.88392,0.99794,1,0.995,0.84271,1.02606,0.67821,0.78237,0.0004358,0.0004358,0.0004358
81,6020.35,0.63874,0.37081,0.87379,0.998,1,0.995,0.86312,0.92948,0.69616,0.7553,0.000416,0.000416,0.000416
82,6094.35,0.61589,0.3639,0.88447,0.99814,1,0.995,0.84552,0.98891,0.74333,0.75542,0.0003962,0.0003962,0.0003962
83,6167.76,0.6446,0.3611,0.87621,0.99803,1,0.995,0.84025,0.94391,0.68639,0.73871,0.0003764,0.0003764,0.0003764
84,6241.72,0.60745,0.34826,0.86592,0.99797,1,0.995,0.83033,1.00118,0.59945,0.75405,0.0003566,0.0003566,0.0003566
85,6315.56,0.61735,0.36306,0.86599,0.99789,1,0.995,0.83888,0.7094,0.48542,0.73589,0.0003368,0.0003368,0.0003368
86,6389.14,0.60158,0.3548,0.87262,0.998,1,0.995,0.85641,0.87406,0.58403,0.73061,0.000317,0.000317,0.000317
87,6462.7,0.57361,0.34441,0.86524,0.99788,1,0.995,0.85397,0.80208,0.52206,0.75908,0.0002972,0.0002972,0.0002972
88,6536.63,0.57019,0.32922,0.85689,0.99817,1,0.995,0.8615,0.90893,0.60074,0.74336,0.0002774,0.0002774,0.0002774
89,6610.03,0.5703,0.33526,0.86599,0.99811,1,0.995,0.8402,1.05832,0.71525,0.73687,0.0002576,0.0002576,0.0002576
90,6683.75,0.57536,0.33735,0.86269,0.99811,1,0.995,0.85926,0.96756,0.70019,0.74061,0.0002378,0.0002378,0.0002378
91,6757.2,0.58834,0.34504,0.82861,0.99762,1,0.995,0.85409,0.84528,0.62019,0.74247,0.000218,0.000218,0.000218
92,6830.46,0.5615,0.33081,0.83464,0.99717,1,0.995,0.83507,0.81526,0.52732,0.75476,0.0001982,0.0001982,0.0001982
93,6903.58,0.60784,0.32925,0.82511,0.99724,1,0.995,0.85092,0.93406,0.59847,0.75581,0.0001784,0.0001784,0.0001784
94,6976.82,0.57629,0.33143,0.82506,0.99743,1,0.995,0.8505,0.81954,0.53753,0.73753,0.0001586,0.0001586,0.0001586
95,7049.77,0.58516,0.32791,0.83462,0.99752,1,0.995,0.84303,0.83456,0.54303,0.73978,0.0001388,0.0001388,0.0001388
96,7122.77,0.56725,0.32229,0.82247,0.99767,1,0.995,0.85531,0.88812,0.59566,0.74661,0.000119,0.000119,0.000119
97,7196.5,0.57794,0.32424,0.83561,0.99787,1,0.995,0.85173,0.88386,0.53621,0.75795,9.92e-05,9.92e-05,9.92e-05
98,7269.79,0.5662,0.33236,0.83536,0.9978,1,0.995,0.84663,0.84896,0.54072,0.76254,7.94e-05,7.94e-05,7.94e-05
99,7342.85,0.55017,0.31703,0.81906,0.99775,1,0.995,0.84818,0.90503,0.52473,0.76177,5.96e-05,5.96e-05,5.96e-05
100,7415.83,0.54736,0.31633,0.81496,0.99789,1,0.995,0.8424,0.90647,0.53447,0.76369,3.98e-05,3.98e-05,3.98e-05
