epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,912.044,0.42641,0.27505,0.87095,0.99969,1,0.995,0.92141,0.39277,0.22221,0.84027,0.0008648,0.0008648,0.0008648
45,931.854,0.42497,0.27558,0.86272,0.99963,1,0.995,0.92334,0.39291,0.22135,0.83679,0.0008384,0.0008384,0.0008384
46,951.687,0.42563,0.27043,0.86691,0.99964,1,0.995,0.92386,0.38418,0.22184,0.8336,0.000812,0.000812,0.000812
47,971.518,0.4232,0.26746,0.86834,0.99955,1,0.995,0.92707,0.38169,0.21439,0.82482,0.0007856,0.0007856,0.0007856
48,991.74,0.41554,0.2654,0.86416,0.99964,1,0.995,0.91275,0.40947,0.21334,0.85774,0.0007592,0.0007592,0.0007592
49,1012.08,0.41831,0.26343,0.86643,0.99967,1,0.995,0.92536,0.38411,0.20684,0.82162,0.0007328,0.0007328,0.0007328
50,1032.32,0.42607,0.26873,0.86999,0.99965,1,0.995,0.9255,0.3934,0.216,0.83212,0.0007064,0.0007064,0.0007064
51,1052.53,0.41513,0.25969,0.86548,0.9997,1,0.995,0.93045,0.38225,0.20878,0.82434,0.00068,0.00068,0.00068
52,1072.77,0.4119,0.26102,0.86771,0.99967,1,0.995,0.92038,0.3954,0.21444,0.83901,0.0006536,0.0006536,0.0006536
53,1093.02,0.41774,0.26506,0.86476,0.99963,1,0.995,0.93007,0.39122,0.21493,0.84062,0.0006272,0.0006272,0.0006272
54,1113.15,0.40105,0.25101,0.86751,0.99951,1,0.995,0.92937,0.39402,0.21129,0.83724,0.0006008,0.0006008,0.0006008
55,1133.36,0.40206,0.25171,0.8569,0.99965,1,0.995,0.92532,0.3899,0.22004,0.83648,0.0005744,0.0005744,0.0005744
56,1153.61,0.40508,0.25284,0.86552,0.99966,1,0.995,0.93339,0.37152,0.19843,0.82216,0.000548,0.000548,0.000548
57,1173.77,0.39603,0.24737,0.85989,0.9997,1,0.995,0.93513,0.37806,0.20096,0.82864,0.0005216,0.0005216,0.0005216
58,1194.09,0.40299,0.24828,0.86381,0.9997,1,0.995,0.93611,0.35952,0.19418,0.81911,0.0004952,0.0004952,0.0004952
59,1214.28,0.3984,0.24604,0.85888,0.99954,1,0.995,0.92461,0.397,0.20174,0.84648,0.0004688,0.0004688,0.0004688
60,1234.45,0.3917,0.23913,0.86148,0.99967,1,0.995,0.92646,0.38723,0.20107,0.8356,0.0004424,0.0004424,0.0004424
61,1254.66,0.3879,0.24034,0.86083,0.99968,1,0.995,0.92653,0.38659,0.2006,0.83366,0.000416,0.000416,0.000416
62,1274.81,0.3845,0.24055,0.85517,0.99959,1,0.995,0.93275,0.38316,0.20364,0.8395,0.0003896,0.0003896,0.0003896
63,1294.97,0.38674,0.23591,0.85679,0.99968,1,0.995,0.92602,0.38763,0.20015,0.83451,0.0003632,0.0003632,0.0003632
64,1315.26,0.38064,0.23275,0.85954,0.99967,1,0.995,0.93673,0.37738,0.1948,0.83244,0.0003368,0.0003368,0.0003368
65,1335.5,0.38897,0.23364,0.8614,0.99961,1,0.995,0.922,0.38028,0.19275,0.82927,0.0003104,0.0003104,0.0003104
66,1382.98,0.35226,0.1956,0.81663,0.99962,1,0.995,0.93148,0.37367,0.1892,0.83888,0.000284,0.000284,0.000284
67,1402.94,0.34697,0.19608,0.8172,0.99964,1,0.995,0.93332,0.36393,0.19096,0.82809,0.0002576,0.0002576,0.0002576
68,1422.87,0.34324,0.19053,0.81667,0.99967,1,0.995,0.9316,0.36787,0.19036,0.8452,0.0002312,0.0002312,0.0002312
69,1442.86,0.34379,0.18974,0.81278,0.99966,1,0.995,0.9309,0.3767,0.18901,0.83944,0.0002048,0.0002048,0.0002048
70,1462.8,0.33851,0.18676,0.8149,0.9997,1,0.995,0.93297,0.36789,0.18723,0.84413,0.0001784,0.0001784,0.0001784
71,1482.87,0.33769,0.18299,0.81176,0.9997,1,0.995,0.93175,0.36755,0.18345,0.83618,0.000152,0.000152,0.000152
72,1502.86,0.33622,0.1821,0.81357,0.9997,1,0.995,0.93603,0.36589,0.18496,0.82905,0.0001256,0.0001256,0.0001256
73,1522.92,0.33022,0.18208,0.8138,0.99969,1,0.995,0.93825,0.36185,0.17602,0.83485,9.92e-05,9.92e-05,9.92e-05
74,1542.93,0.33013,0.17833,0.81455,0.99967,1,0.995,0.93238,0.36483,0.18036,0.83626,7.28e-05,7.28e-05,7.28e-05
75,1562.92,0.32636,0.17752,0.80894,0.99968,1,0.995,0.93882,0.36349,0.17452,0.83874,4.64e-05,4.64e-05,4.64e-05
