epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3044.49,0.73138,0.60056,0.9778,0.99846,1,0.995,0.84216,0.57291,0.53824,0.85865,0.0008912,0.0008912,0.0008912
44,3115.22,0.74747,0.58319,0.96881,0.99861,1,0.995,0.84874,0.60997,0.53658,0.87752,0.0008648,0.0008648,0.0008648
45,3185.82,0.76002,0.58403,0.98333,0.9986,1,0.995,0.83844,0.65142,0.53001,0.89083,0.0008384,0.0008384,0.0008384
46,3256.8,0.75922,0.60116,0.98489,0.99816,1,0.995,0.82176,0.67336,0.52193,0.89164,0.000812,0.000812,0.000812
47,3327.58,0.7641,0.58356,0.97087,0.99824,1,0.995,0.84185,0.65903,0.51943,0.87862,0.0007856,0.0007856,0.0007856
48,3398.56,0.71634,0.56622,0.95066,0.99817,1,0.995,0.84002,0.66152,0.5204,0.87573,0.0007592,0.0007592,0.0007592
49,3469.27,0.74326,0.54947,0.96823,0.99809,1,0.995,0.84034,0.66913,0.53209,0.88274,0.0007328,0.0007328,0.0007328
50,3540,0.70605,0.53543,0.97355,0.99807,1,0.995,0.84037,0.65994,0.52071,0.88348,0.0007064,0.0007064,0.0007064
51,3610.99,0.66556,0.54498,0.96266,0.99818,1,0.995,0.86178,0.59377,0.49297,0.86903,0.00068,0.00068,0.00068
52,3681.53,0.69944,0.53455,0.94819,0.99823,1,0.995,0.85414,0.60139,0.49813,0.88072,0.0006536,0.0006536,0.0006536
53,3752,0.74906,0.55543,0.96466,0.99817,1,0.995,0.83843,0.63058,0.49495,0.89998,0.0006272,0.0006272,0.0006272
54,3822.73,0.69674,0.51944,0.95943,0.99795,1,0.995,0.81251,0.72298,0.49351,0.94127,0.0006008,0.0006008,0.0006008
55,3893.4,0.68107,0.52426,0.96183,0.99805,1,0.995,0.82038,0.69394,0.47849,0.91227,0.0005744,0.0005744,0.0005744
56,3964.47,0.66443,0.51063,0.92788,0.99816,1,0.995,0.82931,0.62906,0.46029,0.88047,0.000548,0.000548,0.000548
57,4035.15,0.70513,0.52641,0.97349,0.99817,1,0.995,0.84346,0.60946,0.4622,0.87204,0.0005216,0.0005216,0.0005216
58,4105.76,0.64505,0.49798,0.93231,0.99813,1,0.995,0.83351,0.60449,0.47426,0.87308,0.0004952,0.0004952,0.0004952
59,4176.59,0.64992,0.48953,0.95835,0.99819,1,0.995,0.84026,0.65296,0.47406,0.89899,0.0004688,0.0004688,0.0004688
60,4247.26,0.62117,0.50227,0.92758,0.99824,1,0.995,0.81933,0.69693,0.48648,0.91597,0.0004424,0.0004424,0.0004424
