epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5865,0.84467,2.82066,1.03555,0.00333,1,0.95826,0.81024,0.61886,2.57416,0.86321,0.00012,0.00012,0.00012
2,143.902,0.84136,1.52019,0.96395,1,0.95685,0.99318,0.7101,0.92539,1.53369,0.93279,0.00025142,0.00025142,0.00025142
3,214.969,0.83927,1.12439,0.97584,0.99783,0.93548,0.97936,0.80196,0.72136,1.19028,0.92393,0.0003736,0.0003736,0.0003736
4,286.098,0.86858,1.07767,0.99568,1,0.94957,0.98825,0.74323,0.84089,1.51467,0.94088,0.00048654,0.00048654,0.00048654
5,357.193,0.93202,1.06705,0.99867,1,0.96376,0.96552,0.72558,0.91046,1.40497,0.96908,0.00059024,0.00059024,0.00059024
6,428.424,0.8799,1.05904,1.01443,0.9968,0.93548,0.95859,0.78925,0.78277,1.39997,0.92892,0.0006847,0.0006847,0.0006847
7,499.434,0.82876,1.01921,0.99583,0.99932,0.93548,0.9619,0.79227,0.76084,1.24812,0.90065,0.00076992,0.00076992,0.00076992
8,570.369,0.91998,1.05132,1.01725,0.99658,0.93548,0.96482,0.71363,0.82541,1.35458,0.93123,0.0008459,0.0008459,0.0008459
9,641.583,0.90214,1.01357,1.06073,0.93554,0.93631,0.98184,0.79318,0.75452,1.70739,0.91346,0.00091264,0.00091264,0.00091264
10,712.536,0.93831,0.95924,1.05054,0.96443,0.87464,0.96967,0.78315,0.81059,1.8359,0.93172,0.00097014,0.00097014,0.00097014
11,783.514,0.91591,0.97467,1.03525,0.97835,0.90323,0.9776,0.79397,0.75363,1.56203,0.90127,0.0010184,0.0010184,0.0010184
12,854.718,0.85601,0.88792,0.9915,0.99591,0.96774,0.98885,0.78028,0.81315,1.3343,0.92333,0.00105742,0.00105742,0.00105742
13,925.586,0.8565,0.88057,1.00628,0.93861,0.98664,0.99028,0.80986,0.72382,1.21299,0.90075,0.0010872,0.0010872,0.0010872
14,996.932,0.84539,0.91133,1.03175,1,0.96771,0.995,0.80335,0.71956,1.13646,0.90761,0.00110774,0.00110774,0.00110774
15,1067.83,0.85404,0.91355,1.02395,0.99631,1,0.995,0.76365,0.85839,1.12833,0.9844,0.001076,0.001076,0.001076
16,1138.68,0.85156,0.85394,1.00897,0.99686,1,0.995,0.80768,0.69421,0.99529,0.90986,0.00101,0.00101,0.00101
17,1209.92,0.78193,0.84466,0.97625,0.99896,1,0.995,0.82708,0.70402,0.91008,0.91431,0.000944,0.000944,0.000944
18,1281.02,0.8036,0.82708,0.99439,0.99785,1,0.995,0.82227,0.72592,0.85786,0.9215,0.000878,0.000878,0.000878
19,1352.36,0.81695,0.83685,1.00715,0.99749,1,0.995,0.81193,0.71536,0.79709,0.89394,0.000812,0.000812,0.000812
20,1423.43,0.81515,0.8352,1.01407,0.99643,1,0.995,0.80477,0.77089,0.88681,0.92046,0.000746,0.000746,0.000746
21,1494.43,0.7297,0.88735,0.92695,0.99657,1,0.995,0.78602,0.82472,0.88899,0.96319,0.00068,0.00068,0.00068
22,1565.46,0.69739,0.77259,0.91243,0.99806,1,0.995,0.8143,0.77816,0.85719,0.94629,0.000614,0.000614,0.000614
23,1636.26,0.67849,0.77948,0.90682,0.99748,1,0.995,0.84073,0.69547,0.82736,0.90808,0.000548,0.000548,0.000548
24,1706.99,0.67601,0.76372,0.88785,0.99801,1,0.995,0.83652,0.71628,0.79269,0.90546,0.000482,0.000482,0.000482
25,1778.32,0.6938,0.74684,0.88725,0.9979,1,0.995,0.83462,0.68667,0.7736,0.89402,0.000416,0.000416,0.000416
26,1849.3,0.65905,0.7239,0.88276,0.99784,1,0.995,0.85092,0.62039,0.72237,0.87455,0.00035,0.00035,0.00035
27,1920.33,0.64386,0.70803,0.88294,0.99776,1,0.995,0.85519,0.58665,0.69175,0.86436,0.000284,0.000284,0.000284
28,1991.3,0.64815,0.68343,0.88084,0.99825,1,0.995,0.85845,0.59102,0.67511,0.86065,0.000218,0.000218,0.000218
29,2062.05,0.67903,0.69285,0.8931,0.99819,1,0.995,0.85367,0.59603,0.66779,0.8652,0.000152,0.000152,0.000152
30,2133.12,0.64786,0.68754,0.90139,0.99816,1,0.995,0.85748,0.59796,0.66549,0.86507,8.6e-05,8.6e-05,8.6e-05
