epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1489.52,1.0502,0.54349,0.91752,0.99713,1,0.995,0.73686,0.79352,0.44896,0.83439,0.0008648,0.0008648,0.0008648
45,1522.9,1.02511,0.51278,0.86441,0.9972,1,0.995,0.77074,0.67503,0.43161,0.82884,0.0008384,0.0008384,0.0008384
46,1555.7,1.04319,0.53593,0.87487,0.99741,1,0.995,0.61917,0.94549,0.46005,0.84501,0.000812,0.000812,0.000812
47,1588.57,1.02831,0.5145,0.87853,0.9974,1,0.995,0.74912,0.82989,0.44529,0.87297,0.0007856,0.0007856,0.0007856
48,1621.51,0.92451,0.46734,0.86378,0.99749,1,0.995,0.70961,0.87092,0.42836,0.91411,0.0007592,0.0007592,0.0007592
49,1654.24,1.04082,0.50012,0.86158,0.99707,1,0.995,0.71998,0.85795,0.43975,0.85682,0.0007328,0.0007328,0.0007328
50,1687.12,0.92941,0.47935,0.84141,0.99737,1,0.995,0.75443,0.68833,0.39132,0.83379,0.0007064,0.0007064,0.0007064
51,1721.16,1.04944,0.51626,0.85382,0.99738,1,0.995,0.59511,0.9117,0.44037,0.84045,0.00068,0.00068,0.00068
52,1755.84,1.01125,0.50144,0.86536,0.99744,1,0.995,0.70692,0.79964,0.40703,0.84815,0.0006536,0.0006536,0.0006536
53,1789.04,0.92558,0.46691,0.85446,0.99698,1,0.995,0.69409,0.80612,0.41212,0.84942,0.0006272,0.0006272,0.0006272
54,1823.47,0.9293,0.45209,0.80035,0.99729,1,0.995,0.71612,0.76802,0.3865,0.84137,0.0006008,0.0006008,0.0006008
55,1857.92,0.94245,0.45451,0.84977,0.99712,1,0.995,0.77164,0.66863,0.4023,0.83624,0.0005744,0.0005744,0.0005744
56,1890.97,0.84122,0.44206,0.8554,0.99746,1,0.995,0.76483,0.74135,0.40071,0.84205,0.000548,0.000548,0.000548
57,1923.95,0.95281,0.48732,0.85886,0.99698,1,0.995,0.75873,0.7645,0.41448,0.84053,0.0005216,0.0005216,0.0005216
58,1957.01,0.92931,0.45507,0.84258,0.99741,1,0.995,0.68563,0.75501,0.42032,0.82683,0.0004952,0.0004952,0.0004952
59,1990.83,0.84157,0.43994,0.83635,0.99726,1,0.995,0.75418,0.68356,0.37245,0.81972,0.0004688,0.0004688,0.0004688
60,2023.99,0.8989,0.44081,0.82471,0.99752,1,0.995,0.72917,0.71963,0.3819,0.8247,0.0004424,0.0004424,0.0004424
61,2056.5,0.95946,0.45785,0.84394,0.99767,1,0.995,0.76835,0.70844,0.37491,0.83373,0.000416,0.000416,0.000416
62,2088.76,0.88453,0.45355,0.8498,0.99757,1,0.995,0.67145,0.81046,0.39863,0.84366,0.0003896,0.0003896,0.0003896
