epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5487,0.67706,1.56515,0.93561,0.80627,0.69018,0.84982,0.70269,0.6362,1.38516,0.9427,0.000661616,0.000661616,0.000661616
2,36.392,0.69756,0.92515,0.95346,0.97724,0.98995,0.99306,0.82713,0.65209,0.75478,0.95545,0.00131075,0.00131075,0.00131075
3,55.008,0.70404,0.70644,0.9631,0.9181,0.95766,0.97159,0.78408,0.67501,0.6397,1.00052,0.00194228,0.00194228,0.00194228
4,73.2876,0.67969,0.60109,0.95824,0.96773,0.9598,0.98667,0.82083,0.63989,0.50859,0.95494,0.0019208,0.0019208,0.0019208
